Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
message.objects[0].entitledUsersEdit,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].entitledUsersPublish,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].entitledUsersView,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].flavorParamsIds,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].groupId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].height,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].id,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].isTrimDisabled,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].lastPlayedAt,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].licenseType,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].mediaDate,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].mediaType,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].moderationCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].moderationStatus,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].msDuration,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].name,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].operationAttributes,No,Yes,,array (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].parentEntryId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].partnerData,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].partnerId,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].partnerSortValue,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].plays,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].rank,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].redirectEntryId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].referenceId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].relatedObjects,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].replacedEntryId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].replacementStatus,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].replacingEntryId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].rootEntryId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].searchProviderId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].searchProviderType,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].searchText,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].sourceType,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].startDate,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].status,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].streams,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].tags,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].templateEntryId,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].thumbnailUrl,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].totalRank,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].type,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].updatedAt,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].userId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].version,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].views,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].votes,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.objects[0].width,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message.relatedObjects,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message.totalCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
objects,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
objects[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
objects[0].accessControlId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].adminTags,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].application,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].applicationVersion,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].blockAutoTranscript,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].capabilities,Yes,No,string (empty),,Field only exists in SAAS - new feature or additional data,
objects[0].categories,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].categoriesIds,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].conversionProfileId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].conversionQuality,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].createdAt,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].creatorId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].creditUrl,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].creditUserName,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].dataUrl,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].description,Yes,No,string (empty),,Field only exists in SAAS - new feature or additional data,
objects[0].displayInSearch,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].downloadUrl,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].duration,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].durationType,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].embedUrl,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].endDate,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].entitledUsersEdit,Yes,No,string (empty),,Field only exists in SAAS - new feature or additional data,
objects[0].entitledUsersPublish,Yes,No,string (empty),,Field only exists in SAAS - new feature or additional data,
objects[0].entitledUsersView,Yes,No,string (empty),,Field only exists in SAAS - new feature or additional data,
objects[0].flavorParamsIds,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].groupId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].height,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].id,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].isTrimDisabled,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].lastPlayedAt,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].licenseType,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].mediaDate,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].mediaType,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].moderationCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].moderationStatus,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].msDuration,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].name,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].operationAttributes,Yes,No,array (empty),,Field only exists in SAAS - new feature or additional data,
objects[0].parentEntryId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].partnerData,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].partnerId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].partnerSortValue,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].plays,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].rank,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].redirectEntryId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].referenceId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].relatedObjects,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].replacedEntryId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].replacementStatus,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].replacingEntryId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].rootEntryId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].searchProviderId,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].searchProviderType,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].searchText,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].sourceType,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].sourceVersion,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].startDate,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].status,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].streams,Yes,No,,,Field only exists in SAAS - new feature or additional data,
objects[0].tags,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].templateEntryId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].thumbnailUrl,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].totalRank,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].type,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].updatedAt,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].userId,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
objects[0].version,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].views,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].votes,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
objects[0].width,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
totalCount,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
