Field Path,Present in SAAS,Present in Legacy,Type in SAAS,Type in Legacy,Notes,Team Comments
[0].tags,Yes,No,array of object,,Field only exists in SAAS - new feature or additional data,
[0].tags[0],Yes,No,object,,Field only exists in SAAS - new feature or additional data,
[0].tags[0].tagId,Yes,No,integer,,Field only exists in SAAS - new feature or additional data,
[0].tags[0].tagName,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].totalAssignments,Yes,No,,,Field only exists in SAAS - new feature or additional data,
[0].totalPoints,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].userName,Yes,No,string (empty),,Field only exists in SAAS - new feature or additional data,
[0].visiting,Yes,No,string,,Field only exists in SAAS - new feature or additional data,
[0].weeksInMilestone,Yes,No,,,Field only exists in SAAS - new feature or additional data,
code,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message[0].HASH,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].advisorEmail,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message[0].advisorName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].advisorPhone,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].alerts,No,Yes,,array of string,Field only exists in Legacy - potentially deprecated or moved,
message[0].alertsCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].alerts[0],No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].city,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].courseName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].coursePkId,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].courseRoom,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message[0].courseTextNumber,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].daysToDrop,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].dropDt,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].droppedOutDate,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message[0].emailAddress,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].employeeId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].endDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].enrollmentDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].firstName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].fullName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].grade,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].hasMilestones,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message[0].isCanvas,No,Yes,,boolean,Field only exists in Legacy - potentially deprecated or moved,
message[0].lastAcadEngDt,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message[0].lastAccessDt,No,Yes,,string (empty),Field only exists in Legacy - potentially deprecated or moved,
message[0].lastName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].lastOutreachDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].longCourseId,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].mobileNumber,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].outreachCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].overDueCount,No,Yes,,integer,Field only exists in Legacy - potentially deprecated or moved,
message[0].phone,No,Yes,,array of object,Field only exists in Legacy - potentially deprecated or moved,
message[0].phone[0],No,Yes,,object,Field only exists in Legacy - potentially deprecated or moved,
message[0].phone[0].number,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].phone[0].type,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].priorityScore,No,Yes,,,Field only exists in Legacy - potentially deprecated or moved,
message[0].role,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].startDate,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].state,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].systemTags,No,Yes,,array of string,Field only exists in Legacy - potentially deprecated or moved,
message[0].systemTags[0],No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
message[0].tags,No,Yes,,array (empty),Field only exists in Legacy - potentially deprecated or moved,
message[0].userName,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
status,No,Yes,,string,Field only exists in Legacy - potentially deprecated or moved,
